,#file_source,#file_extract,onset,offset,#phone,context,language,speaker,prev_phone,next_phone,dataset
216,Maureen_ABX_ENG_clean.wav,maureen_eng_1.wav,1.7840900000000002,2.13551,ʊ,z_p,EN,maureen,z,p,cogsci-2019
217,Maureen_ABX_ENG_clean.wav,maureen_eng_2.wav,3.75397,4.10771,ʊ,z_t,EN,maureen,z,t,cogsci-2019
218,Maureen_ABX_ENG_clean.wav,maureen_eng_3.wav,6.01882,6.45782,ʊ,z_g,EN,maureen,z,g,cogsci-2019
219,Maureen_ABX_ENG_clean.wav,maureen_eng_4.wav,8.453289999999999,8.86236,ʊ,z_b,EN,maureen,z,b,cogsci-2019
220,Maureen_ABX_ENG_clean.wav,maureen_eng_5.wav,10.88776,11.26057,ʊ,z_d,EN,maureen,z,d,cogsci-2019
221,Maureen_ABX_ENG_clean.wav,maureen_eng_6.wav,13.226289999999999,13.59066,ʊ,s_g,EN,maureen,s,g,cogsci-2019
222,Maureen_ABX_ENG_clean.wav,maureen_eng_7.wav,15.600029999999999,15.99615,ʊ,s_b,EN,maureen,s,b,cogsci-2019
223,Maureen_ABX_ENG_clean.wav,maureen_eng_8.wav,17.99161,18.38073,ʊ,f_p,EN,maureen,f,p,cogsci-2019
224,Maureen_ABX_ENG_clean.wav,maureen_eng_9.wav,20.44603,20.89501,ʊ,f_b,EN,maureen,f,b,cogsci-2019
225,Maureen_ABX_ENG_clean.wav,maureen_eng_10.wav,22.95034,23.33946,ʊ,f_d,EN,maureen,f,d,cogsci-2019
226,Maureen_ABX_ENG_clean.wav,maureen_eng_11.wav,25.41038,25.76772,ʊ,ʃ_p,EN,maureen,ʃ,p,cogsci-2019
227,Maureen_ABX_ENG_clean.wav,maureen_eng_12.wav,27.79976,28.14146,ʊ,ʃ_g,EN,maureen,ʃ,g,cogsci-2019
228,Maureen_ABX_ENG_clean.wav,maureen_eng_13.wav,30.32358,30.7626,ʊ,ʃ_b,EN,maureen,ʃ,b,cogsci-2019
229,Maureen_ABX_ENG_clean.wav,maureen_eng_14.wav,32.897729999999996,33.30189,ʊ,v_p,EN,maureen,v,p,cogsci-2019
230,Maureen_ABX_ENG_clean.wav,maureen_eng_15.wav,35.48186,35.75125,ʊ,v_k,EN,maureen,v,k,cogsci-2019
231,Maureen_ABX_ENG_clean.wav,maureen_eng_16.wav,37.95189,38.22395,ʊ,v_g,EN,maureen,v,g,cogsci-2019
232,Maureen_ABX_ENG_clean.wav,maureen_eng_17.wav,40.3907,40.690020000000004,ʊ,v_b,EN,maureen,v,b,cogsci-2019
233,Maureen_ABX_ENG_clean.wav,maureen_eng_18.wav,42.93492,43.17438,ʊ,v_d,EN,maureen,v,d,cogsci-2019
234,Maureen_ABX_ENG_clean.wav,maureen_eng_19.wav,45.1898,45.585390000000004,ʊ,z_z,EN,maureen,z,z,cogsci-2019
235,Maureen_ABX_ENG_clean.wav,maureen_eng_20.wav,47.684129999999996,48.06327,ʊ,z_s,EN,maureen,z,s,cogsci-2019
236,Maureen_ABX_ENG_clean.wav,maureen_eng_21.wav,50.23832,50.58887,ʊ,z_f,EN,maureen,z,f,cogsci-2019
237,Maureen_ABX_ENG_clean.wav,maureen_eng_22.wav,52.743559999999995,53.13222,ʊ,z_ʃ,EN,maureen,z,ʃ,cogsci-2019
238,Maureen_ABX_ENG_clean.wav,maureen_eng_23.wav,55.2671,55.61335,ʊ,z_v,EN,maureen,z,v,cogsci-2019
239,Maureen_ABX_ENG_clean.wav,maureen_eng_24.wav,57.82841,58.3,ʊ,s_z,EN,maureen,s,z,cogsci-2019
240,Maureen_ABX_ENG_clean.wav,maureen_eng_25.wav,60.36675,60.76675,ʊ,s_s,EN,maureen,s,s,cogsci-2019
241,Maureen_ABX_ENG_clean.wav,maureen_eng_26.wav,65.1999,65.53188,ʊ,s_f,EN,maureen,s,f,cogsci-2019
242,Maureen_ABX_ENG_clean.wav,maureen_eng_27.wav,67.51531,67.88821,ʊ,s_v,EN,maureen,s,v,cogsci-2019
243,Maureen_ABX_ENG_clean.wav,maureen_eng_28.wav,70.13311,70.43243000000001,ʊ,f_z,EN,maureen,f,z,cogsci-2019
244,Maureen_ABX_ENG_clean.wav,maureen_eng_29.wav,72.61746,72.97204,ʊ,f_ʃ,EN,maureen,f,ʃ,cogsci-2019
245,Maureen_ABX_ENG_clean.wav,maureen_eng_30.wav,75.02199999999999,75.37942,ʊ,f_v,EN,maureen,f,v,cogsci-2019
246,Maureen_ABX_ENG_clean.wav,maureen_eng_31.wav,77.26101,77.67235,ʊ,ʃ_s,EN,maureen,ʃ,s,cogsci-2019
247,Maureen_ABX_ENG_clean.wav,maureen_eng_32.wav,79.73129,80.19025,ʊ,ʃ_v,EN,maureen,ʃ,v,cogsci-2019
248,Maureen_ABX_ENG_clean.wav,maureen_eng_33.wav,82.39524,82.82664,ʊ,v_z,EN,maureen,v,z,cogsci-2019
249,Maureen_ABX_ENG_clean.wav,maureen_eng_34.wav,84.94943,85.30731,ʊ,v_s,EN,maureen,v,s,cogsci-2019
250,Maureen_ABX_ENG_clean.wav,maureen_eng_35.wav,87.53356,87.87279000000001,ʊ,v_f,EN,maureen,v,f,cogsci-2019
251,Maureen_ABX_ENG_clean.wav,maureen_eng_36.wav,90.00794,90.40182,ʊ,v_ʃ,EN,maureen,v,ʃ,cogsci-2019
252,Maureen_ABX_ENG_clean.wav,maureen_eng_37.wav,92.54218,92.89443,ʊ,v_v,EN,maureen,v,v,cogsci-2019
253,Maureen_ABX_ENG_clean.wav,maureen_eng_38.wav,95.05646,95.46485,æ,z_t,EN,maureen,z,t,cogsci-2019
254,Maureen_ABX_ENG_clean.wav,maureen_eng_39.wav,100.06508000000001,100.4941,æ,z_d,EN,maureen,z,d,cogsci-2019
255,Maureen_ABX_ENG_clean.wav,maureen_eng_40.wav,102.73899999999999,103.16464,æ,ʃ_p,EN,maureen,ʃ,p,cogsci-2019
256,Maureen_ABX_ENG_clean.wav,maureen_eng_41.wav,105.25328999999999,105.70227,æ,ʃ_b,EN,maureen,ʃ,b,cogsci-2019
257,Maureen_ABX_ENG_clean.wav,maureen_eng_42.wav,107.79751,108.21655,æ,ʃ_d,EN,maureen,ʃ,d,cogsci-2019
258,Maureen_ABX_ENG_clean.wav,maureen_eng_43.wav,110.81066000000001,111.25141,æ,v_t,EN,maureen,v,t,cogsci-2019
259,Maureen_ABX_ENG_clean.wav,maureen_eng_44.wav,113.36485,113.68413000000001,æ,v_k,EN,maureen,v,k,cogsci-2019
260,Maureen_ABX_ENG_clean.wav,maureen_eng_45.wav,115.8093,116.18843999999999,æ,v_g,EN,maureen,v,g,cogsci-2019
261,Maureen_ABX_ENG_clean.wav,maureen_eng_46.wav,118.25374,118.6852,æ,v_b,EN,maureen,v,b,cogsci-2019
262,Maureen_ABX_ENG_clean.wav,maureen_eng_47.wav,120.85781999999999,121.27687,æ,v_d,EN,maureen,v,d,cogsci-2019
263,Maureen_ABX_ENG_clean.wav,maureen_eng_48.wav,123.4565,123.86621000000001,æ,z_z,EN,maureen,z,z,cogsci-2019
264,Maureen_ABX_ENG_clean.wav,maureen_eng_49.wav,125.99615,126.41717,æ,z_s,EN,maureen,z,s,cogsci-2019
265,Maureen_ABX_ENG_clean.wav,maureen_eng_50.wav,128.50045,128.9195,æ,z_f,EN,maureen,z,f,cogsci-2019
266,Maureen_ABX_ENG_clean.wav,maureen_eng_51.wav,130.80522,131.2697,æ,z_ʃ,EN,maureen,z,ʃ,cogsci-2019
267,Maureen_ABX_ENG_clean.wav,maureen_eng_52.wav,133.26961,133.66871,æ,z_v,EN,maureen,z,v,cogsci-2019
268,Maureen_ABX_ENG_clean.wav,maureen_eng_53.wav,135.81632,136.22118,æ,s_f,EN,maureen,s,f,cogsci-2019
269,Maureen_ABX_ENG_clean.wav,maureen_eng_54.wav,138.28821000000002,138.67732,æ,v_z,EN,maureen,v,z,cogsci-2019
270,Maureen_ABX_ENG_clean.wav,maureen_eng_55.wav,140.95215,141.38118,æ,f_f,EN,maureen,f,f,cogsci-2019
271,Maureen_ABX_ENG_clean.wav,maureen_eng_56.wav,143.49636999999998,144.02127,æ,f_ʃ,EN,maureen,f,ʃ,cogsci-2019
272,Maureen_ABX_ENG_clean.wav,maureen_eng_57.wav,146.08753000000002,146.52963,æ,ʃ_s,EN,maureen,ʃ,s,cogsci-2019
273,Maureen_ABX_ENG_clean.wav,maureen_eng_58.wav,148.59427,149.01693999999998,æ,ʃ_ʃ,EN,maureen,ʃ,ʃ,cogsci-2019
274,Maureen_ABX_ENG_clean.wav,maureen_eng_59.wav,151.03923,151.4483,æ,ʃ_v,EN,maureen,ʃ,v,cogsci-2019
275,Maureen_ABX_ENG_clean.wav,maureen_eng_60.wav,153.50363000000002,153.94263,æ,v_z,EN,maureen,v,z,cogsci-2019
276,Maureen_ABX_ENG_clean.wav,maureen_eng_61.wav,155.90816,156.33902,æ,v_s,EN,maureen,v,s,cogsci-2019
277,Maureen_ABX_ENG_clean.wav,maureen_eng_62.wav,158.51224,158.8997,æ,v_f,EN,maureen,v,f,cogsci-2019
278,Maureen_ABX_ENG_clean.wav,maureen_eng_63.wav,160.93673,161.37488000000002,æ,v_ʃ,EN,maureen,v,ʃ,cogsci-2019
279,Maureen_ABX_ENG_clean.wav,maureen_eng_64.wav,163.38118,163.76032,æ,v_v,EN,maureen,v,v,cogsci-2019
280,Maureen_ABX_ENG_clean.wav,maureen_eng_65.wav,165.43651,165.81565,ʌ,z_t,EN,maureen,z,t,cogsci-2019
281,Maureen_ABX_ENG_clean.wav,maureen_eng_66.wav,167.81111,168.19025,ʌ,z_g,EN,maureen,z,g,cogsci-2019
282,Maureen_ABX_ENG_clean.wav,maureen_eng_67.wav,170.29546000000002,170.65465,ʌ,z_b,EN,maureen,z,b,cogsci-2019
283,Maureen_ABX_ENG_clean.wav,maureen_eng_68.wav,172.75986,173.14898,ʌ,z_d,EN,maureen,z,d,cogsci-2019
284,Maureen_ABX_ENG_clean.wav,maureen_eng_69.wav,175.25353,175.62336000000002,ʌ,s_t,EN,maureen,s,t,cogsci-2019
285,Maureen_ABX_ENG_clean.wav,maureen_eng_70.wav,177.66853999999998,177.98798,ʌ,s_g,EN,maureen,s,g,cogsci-2019
286,Maureen_ABX_ENG_clean.wav,maureen_eng_71.wav,180.18299,180.57901,ʌ,f_p,EN,maureen,f,p,cogsci-2019
287,Maureen_ABX_ENG_clean.wav,maureen_eng_72.wav,182.85692,183.24603000000002,ʌ,f_b,EN,maureen,f,b,cogsci-2019
288,Maureen_ABX_ENG_clean.wav,maureen_eng_73.wav,185.03168,185.42109,ʌ,ʃ_b,EN,maureen,ʃ,b,cogsci-2019
289,Maureen_ABX_ENG_clean.wav,maureen_eng_74.wav,187.5263,187.90263000000002,ʌ,ʃ_d,EN,maureen,ʃ,d,cogsci-2019
290,Maureen_ABX_ENG_clean.wav,maureen_eng_75.wav,190.19025,190.55941,ʌ,v_k,EN,maureen,v,k,cogsci-2019
291,Maureen_ABX_ENG_clean.wav,maureen_eng_76.wav,192.64193,192.97378,ʌ,v_g,EN,maureen,v,g,cogsci-2019
292,Maureen_ABX_ENG_clean.wav,maureen_eng_77.wav,195.18889,195.5381,ʌ,v_b,EN,maureen,v,b,cogsci-2019
293,Maureen_ABX_ENG_clean.wav,maureen_eng_78.wav,197.8229,198.17394,ʌ,z_p,EN,maureen,z,p,cogsci-2019
294,Maureen_ABX_ENG_clean.wav,maureen_eng_79.wav,200.17755,200.52676,ʌ,z_k,EN,maureen,z,k,cogsci-2019
295,Maureen_ABX_ENG_clean.wav,maureen_eng_80.wav,202.61202,202.93129,ʌ,z_g,EN,maureen,z,g,cogsci-2019
296,Maureen_ABX_ENG_clean.wav,maureen_eng_81.wav,205.04648999999998,205.41615,ʌ,z_b,EN,maureen,z,b,cogsci-2019
297,Maureen_ABX_ENG_clean.wav,maureen_eng_82.wav,207.47098,207.82018,ʌ,z_d,EN,maureen,z,d,cogsci-2019
298,Maureen_ABX_ENG_clean.wav,maureen_eng_83.wav,209.93062999999998,210.3031,ʌ,s_t,EN,maureen,s,t,cogsci-2019
299,Maureen_ABX_ENG_clean.wav,maureen_eng_84.wav,212.44966000000002,212.8288,ʌ,s_g,EN,maureen,s,g,cogsci-2019
300,Maureen_ABX_ENG_clean.wav,maureen_eng_85.wav,215.06372000000002,215.42871,ʌ,f_p,EN,maureen,f,p,cogsci-2019
301,Maureen_ABX_ENG_clean.wav,maureen_eng_86.wav,217.59796,217.8873,ʌ,f_b,EN,maureen,f,b,cogsci-2019
302,Maureen_ABX_ENG_clean.wav,maureen_eng_87.wav,220.05237999999997,220.44647999999998,ʌ,ʃ_p,EN,maureen,ʃ,p,cogsci-2019
303,Maureen_ABX_ENG_clean.wav,maureen_eng_88.wav,222.5931,222.96132000000003,ʌ,ʃ_b,EN,maureen,ʃ,b,cogsci-2019
304,Maureen_ABX_ENG_clean.wav,maureen_eng_89.wav,225.13083999999998,225.50784,ʌ,ʃ_d,EN,maureen,ʃ,d,cogsci-2019
305,Maureen_ABX_ENG_clean.wav,maureen_eng_90.wav,227.59524,227.9859,ʌ,v_p,EN,maureen,v,p,cogsci-2019
306,Maureen_ABX_ENG_clean.wav,maureen_eng_91.wav,230.17937,230.57797000000002,ʌ,v_t,EN,maureen,v,t,cogsci-2019
307,Maureen_ABX_ENG_clean.wav,maureen_eng_92.wav,232.76349,233.18254,ʌ,v_k,EN,maureen,v,k,cogsci-2019
308,Maureen_ABX_ENG_clean.wav,maureen_eng_93.wav,235.178,235.52265,ʌ,v_g,EN,maureen,v,g,cogsci-2019
309,Maureen_ABX_ENG_clean.wav,maureen_eng_94.wav,237.72222000000002,238.09583999999998,ʌ,v_b,EN,maureen,v,b,cogsci-2019
310,Maureen_ABX_ENG_clean.wav,maureen_eng_95.wav,240.25646,240.58571,ʌ,v_d,EN,maureen,v,d,cogsci-2019
311,Maureen_ABX_ENG_clean.wav,maureen_eng_96.wav,242.84059,243.25364,ʌ,z_z,EN,maureen,z,z,cogsci-2019
312,Maureen_ABX_ENG_clean.wav,maureen_eng_97.wav,245.32494,245.72404,ʌ,z_s,EN,maureen,z,s,cogsci-2019
313,Maureen_ABX_ENG_clean.wav,maureen_eng_98.wav,247.98889,248.378,ʌ,z_f,EN,maureen,z,f,cogsci-2019
314,Maureen_ABX_ENG_clean.wav,maureen_eng_99.wav,251.10181,251.52677000000003,ʌ,z_ʃ,EN,maureen,z,ʃ,cogsci-2019
315,Maureen_ABX_ENG_clean.wav,maureen_eng_100.wav,253.67596,254.04512000000003,ʌ,z_v,EN,maureen,z,v,cogsci-2019
316,Maureen_ABX_ENG_clean.wav,maureen_eng_101.wav,256.14036,256.57937000000004,ʌ,s_z,EN,maureen,s,z,cogsci-2019
317,Maureen_ABX_ENG_clean.wav,maureen_eng_102.wav,258.59477999999996,259.00233,ʌ,s_ʃ,EN,maureen,s,ʃ,cogsci-2019
318,Maureen_ABX_ENG_clean.wav,maureen_eng_103.wav,261.03923,261.43832000000003,ʌ,s_v,EN,maureen,s,v,cogsci-2019
319,Maureen_ABX_ENG_clean.wav,maureen_eng_104.wav,263.79107,264.13277,ʌ,ʃ_f,EN,maureen,ʃ,f,cogsci-2019
320,Maureen_ABX_ENG_clean.wav,maureen_eng_105.wav,266.23741,266.66367,ʌ,f_ʃ,EN,maureen,f,ʃ,cogsci-2019
321,Maureen_ABX_ENG_clean.wav,maureen_eng_106.wav,268.74463,269.08095,ʌ,z_z,EN,maureen,z,z,cogsci-2019
322,Maureen_ABX_ENG_clean.wav,maureen_eng_107.wav,271.26599,271.65385,ʌ,z_s,EN,maureen,z,s,cogsci-2019
323,Maureen_ABX_ENG_clean.wav,maureen_eng_108.wav,273.77029,274.12066,ʌ,z_f,EN,maureen,z,f,cogsci-2019
324,Maureen_ABX_ENG_clean.wav,maureen_eng_109.wav,276.35442,276.73971,ʌ,z_ʃ,EN,maureen,z,ʃ,cogsci-2019
325,Maureen_ABX_ENG_clean.wav,maureen_eng_110.wav,278.3898,278.73900000000003,ʌ,z_v,EN,maureen,z,v,cogsci-2019
326,Maureen_ABX_ENG_clean.wav,maureen_eng_111.wav,280.80916,281.16348999999997,ʌ,s_f,EN,maureen,s,f,cogsci-2019
327,Maureen_ABX_ENG_clean.wav,maureen_eng_112.wav,283.38664,283.77206,ʌ,s_ʃ,EN,maureen,s,ʃ,cogsci-2019
328,Maureen_ABX_ENG_clean.wav,maureen_eng_113.wav,288.12288,288.55867,ʌ,s_v,EN,maureen,s,v,cogsci-2019
329,Maureen_ABX_ENG_clean.wav,maureen_eng_114.wav,290.57211,290.94127000000003,ʌ,f_f,EN,maureen,f,f,cogsci-2019
330,Maureen_ABX_ENG_clean.wav,maureen_eng_115.wav,292.53764,292.94576,ʌ,f_ʃ,EN,maureen,f,ʃ,cogsci-2019
